date,0
1981-07-03,-0.5430817200291131
1981-07-17,-0.6376633212180836
1981-07-30,-0.6957710148868101
1981-08-19,-0.8658059400503748
1981-09-02,-0.97913554797908
1981-09-17,-1.0637046398339416
1981-10-01,-1.130285424096465
1981-10-19,-0.9450380337964637
1981-11-05,-0.733414979840999
1981-11-19,-0.906059918989125
1981-12-03,-0.7875583668998924
1981-12-31,-0.834912597060929
1982-01-19,-0.8019792952288907
1982-02-02,-0.7462660889847259
1982-02-18,-0.8242803797454217
1982-03-04,-0.7741658628877852
1982-03-18,-0.7171062091356644
1982-04-01,-0.8206657530779773
1982-04-16,-0.9005704745138605
1982-05-03,-0.9759524078170916
1982-05-13,-1.0497428585539497
1982-06-18,-1.0619361990209162
1982-07-01,-1.1869677406220314
1982-07-19,-1.335577504417728
1982-08-02,-1.4086103996639983
1982-08-19,-1.4912635288286669
1982-08-31,-1.5227063678195436
1982-09-16,-1.5562507282855935
1982-09-30,-1.679745731285161
1982-10-19,-1.433860460789566
1982-11-02,-1.5733053852997778
1982-11-18,-1.5303188631933824
1982-12-02,-1.4485838514017257
1982-12-16,-1.2798976525581245
1982-12-30,-1.1223717531530588
1983-01-20,-0.9819923343331136
1983-02-03,-0.80631562473919
1983-02-17,-0.9269341596496126
1983-03-03,-1.010645790068076
1983-03-17,-1.07072372907018
1983-03-31,-0.793282226411423
1983-04-19,-0.8879070293066975
1983-05-03,-0.7128634440246611
1983-05-19,-0.7709753536213484
1983-06-02,-0.7008605928202678
1983-06-16,-0.944433418839949
1983-06-30,-1.1185846014738012
1983-07-19,-1.2996699628152095
1983-08-04,-1.4015537352327916
1983-08-18,-1.4991932947402293
1983-09-01,-1.58352483701075
1983-09-19,-1.441481136163826
1983-10-05,-1.5501464186582157
1983-10-19,-1.528763645021833
1983-11-03,-1.4779741566886664
1983-11-17,-1.6081424570021645
1983-12-19,-1.2624046433914022
1984-01-02,-0.9825312767178318
1984-01-19,-0.8072117266289507
1984-02-01,-0.60467321354182
1984-02-16,-0.6916467817610992
1984-03-01,-0.7986373858234836
1984-03-15,-0.8164468537176615
1984-04-02,-0.7710941000011065
1984-04-19,-0.888604453968084
1984-05-02,-0.9442436758468198
1984-05-15,-0.9963336181924634
1984-05-30,-0.8284893929388659
1984-06-19,-0.9326654465031088
1984-07-02,-1.0638013417828789
1984-07-19,-1.0117281813319607
1984-08-02,-1.1345439152536774
1984-08-16,-1.246220486760942
1984-08-31,-1.3187736276443995
1984-09-19,-1.208588017918243
1984-10-03,-0.9843922147158051
1984-10-18,-1.0227388115056126
1984-10-31,-0.9212766143085542
1984-11-15,-1.0633787993400343
1984-11-28,-0.8459662882599113
1984-12-19,-0.9690755514805407
1985-01-15,-1.004995741728726
1985-01-29,-0.8392644702607897
1985-02-15,-0.9955910863694988
1985-03-01,-1.0272117445295281
1985-03-15,-0.9898894646309195
1985-03-29,-1.0128903333343322
1985-04-15,-0.7323090419022233
1985-05-02,-0.9416219880419014
1985-05-14,-0.9822195786089218
1985-05-29,-1.0413309485544877
1985-06-19,-0.9808890586899437
1985-07-02,-1.0039927158393287
1985-07-18,-1.1763996952539142
1985-08-01,-1.0357974662314864
1985-08-15,-1.0670912479829455
1985-08-30,-1.096669232336304
1985-09-17,-1.1432000774056417
1985-09-30,-1.191051743082615
1985-10-16,-1.2605248117495726
1985-10-29,-1.3202023241815906
1985-11-14,-1.1394373905709343
1985-11-28,-1.2182784151967576
1985-12-18,-1.0542579186723893
1986-01-13,-0.727785490787983
1986-01-28,-0.6276670379492162
1986-02-14,-0.8965283927366563
1986-03-05,-1.0462979149614333
1986-03-19,-1.0095569936255437
1986-04-04,-0.9292774893055213
1986-04-17,-1.0318853538057222
1986-05-02,-1.139364717315648
1986-05-20,-1.3138143565658011
1986-05-27,-1.248013053540651
1986-06-19,-1.3845894031731711
1986-07-02,-1.4879166301027693
1986-07-17,-1.601839400163579
1986-07-30,-1.6157196191351113
1986-08-14,-1.7764525855183697
1986-08-28,-1.7346373729336328
1986-09-15,-1.8537842853513242
1986-10-01,-1.9588659338332919
1986-10-17,-2.023221198410015
1986-10-30,-1.6673245072096499
1986-11-17,-1.7767817578454244
1986-12-01,-1.5735678425403927
1986-12-16,-1.6004606710565512
1987-01-28,-1.5897824101709601
1987-02-16,-1.5520781710545588
1987-03-02,-1.441577816051444
1987-03-17,-1.5076033230855022
1987-04-01,-1.3330549160120768
1987-04-15,-1.3336538758722836
1987-04-29,-1.4877410475923876
1987-05-15,-1.4761281365133525
1987-06-02,-1.4486690858543845
1987-06-16,-1.4029627865798824
1987-07-17,-1.4032782109766744
1987-07-30,-1.0586809275748865
1987-09-28,-1.2056993196019379
1987-10-19,-1.066028341409383
1987-10-29,-1.0851247045519032
1987-11-12,-1.1644880624214224
1987-12-01,-0.8369673877793489
1987-12-18,-1.0067298343539326
1987-12-29,-0.8133790750401146
1988-01-15,-0.6445422588070016
1988-01-28,-0.3946319441842714
1988-02-16,-0.27536070264946266
1988-03-01,-0.4284487943955744
1988-03-18,-0.3920982302225542
1988-03-31,-0.25617552087719964
1988-04-15,-0.4820116477136924
1988-04-29,-0.5611315883196921
1988-05-17,-0.6313864490982308
1988-05-30,-0.5300744991122035
1988-06-16,-0.7952281099534069
1988-06-29,-0.8858119773349162
1988-07-18,-0.8890144721789972
1988-08-01,-0.9267767906553237
1988-08-18,-1.1676738297697569
1988-09-01,-1.2595833588985346
1988-09-15,-1.3546037421695754
1988-09-29,-1.3196861718962336
1988-10-14,-1.206523619007486
1988-10-31,-1.3374114517730231
