,0
1985-11-14,10.710449578039178
1985-11-28,10.818060322648535
1985-12-14,10.98763383203509
1985-12-28,11.200036615591898
1986-01-13,11.38529238249016
1986-01-28,11.61243653449431
1986-02-14,11.366836726731627
1986-03-01,11.121301416673198
1986-03-14,11.161704774547427
1986-03-28,11.501685555932223
1986-04-14,11.57951371154817
1986-04-28,11.630128488974986
1986-05-14,11.454678650044851
1986-05-29,11.150158346595482
1986-07-14,10.589651303619895
1986-07-29,10.455974252760832
1986-08-14,10.208627804219354
1986-08-28,10.252281600390344
1986-09-15,10.316896660819978
1986-09-29,10.350356292340077
1986-10-13,10.305722241871155
1986-10-29,10.589754381754773
1986-11-14,10.709629039541312
1986-11-27,10.768284877265039
1986-12-14,10.851283132995036
1986-12-28,11.161698219961508
1987-01-14,11.269844005211887
1987-01-28,11.307726847905446
1987-02-14,11.379369712950236
1987-02-28,11.432234584550976
1987-03-14,11.523336466060403
1987-03-28,11.823161197400083
1987-04-13,11.619709667310271
1987-04-27,11.397884863186022
1987-05-14,11.302290164643434
1987-05-28,11.227682634758711
1987-06-14,11.310352619918813
1987-06-28,11.376970847230304
1987-07-14,10.97140093819046
1987-07-28,10.958020382033492
1987-08-14,10.853314636439649
1987-08-28,10.838538216830244
1987-09-14,10.679157938565929
1987-09-28,10.631085140546283
1987-10-14,10.789060958083905
1987-10-28,10.808734567857748
1987-11-14,10.813085005018191
1987-11-28,11.130001876021339
1987-12-28,11.08719207091098
1988-01-14,11.20383272481979
1988-01-28,11.500987316419128
1988-02-13,11.628454554038267
1988-02-27,11.540174008149013
1988-03-14,11.821254954330435
1988-03-28,11.967578256995555
1988-04-14,11.588547969870877
1988-04-28,11.414939104828594
1988-05-14,11.203907608016141
1988-05-28,11.068740905610202
1988-06-14,11.08358932550055
1988-06-28,10.869885386395335
1988-07-14,10.78754053845486
1988-07-27,11.136030376886549
1988-08-14,10.76583726284877
1988-08-30,10.63297531606942
1988-09-14,10.591838785776769
1988-09-28,10.603449523723867
1988-10-13,10.765235585492256
1988-10-27,10.851789236357334
1988-11-14,10.744352932603185
1988-11-28,10.803913793351807
1988-12-13,11.043138033667002
1989-01-14,11.362893469470407
1989-01-28,11.087137641400826
1989-02-14,11.08948871046601
1989-02-28,11.150683924187561
1989-03-14,11.338394649279689
1989-03-28,11.356158927629515
1989-04-14,11.232516533557856
1989-04-28,11.439225515032195
1989-05-14,11.057984098983102
1989-05-28,10.656997685316362
1989-06-14,10.557205622979417
1989-06-28,10.293951449043064
1989-07-14,10.199492984253958
1989-07-28,10.074108372157031
1989-08-14,10.005491023027027
1989-08-28,9.932484214428122
1989-09-13,10.022245352349287
1989-09-27,10.079458727274503
1989-10-14,10.170364714834342
1989-10-28,10.242178473421795
1989-11-14,10.349144875940326
1989-11-28,10.325757778901362
1989-12-14,10.404079148685742
1990-01-14,10.615836860231006
1990-01-28,10.845185925532657
1990-02-14,10.99135516730573
1990-03-13,11.191430847517744
1990-03-27,11.103373096398737
1990-04-14,10.964259694074066
1990-05-14,10.782600931163365
1990-05-28,12.9
1990-06-14,10.599252453864395
1990-06-28,10.473908236860368
1990-07-14,10.459153751000912
1990-07-28,10.229146365420824
1990-08-13,10.006773149129664
1990-08-28,9.952174836505947
1990-09-14,10.203063821472018
1990-09-28,10.192485330788834
1990-10-14,10.194760556706587
1990-11-14,10.423038539717322
1990-11-28,10.618237847737287
1990-12-14,10.746832597669027
1991-01-14,11.36415774695039
1991-01-28,11.304908180490791
1991-02-14,11.09975107406564
1991-02-28,11.274470788138355
1991-03-14,11.25161498222856
1991-04-14,11.030749611284335
1991-04-27,11.025862428874056
1991-05-28,10.796072647451933
1991-06-14,10.645918906265457
1991-06-28,10.670131334969287
1991-07-28,10.376711346750884
1991-08-14,10.161520547492852
1991-08-28,10.025762054570102
1991-09-13,9.91839577285598
1991-09-29,10.080079112394536
1991-10-14,10.097761525000632
1991-10-28,10.145254616160987
1991-11-14,12.9
1991-11-28,10.72628178696694
1991-12-14,10.759462382313284
1991-12-28,11.120502089086479
1992-01-14,11.180645823246884
1992-01-28,11.11051490452305
1992-02-15,11.229478602208822
1992-02-29,11.198233789243716
1992-03-14,11.211436774153842
1992-03-27,11.27469913117367
1992-04-13,11.193965218753242
1992-04-28,11.241555924320448
1992-05-13,11.173590888169727
1992-05-28,12.9
1992-06-14,11.004248322939617
1992-06-28,10.746131390396997
1992-07-13,10.497557075487798
1992-07-27,10.35119496420975
1992-08-14,10.313361428092293
1992-08-27,10.373811960282168
1992-09-13,10.713166139143475
1992-09-27,10.5990287151219
1992-10-15,10.597473737402922
1992-10-28,10.723236303127269
1992-11-13,10.841380940139587
1992-11-27,11.14086163127282
1992-12-14,11.423774866303507
1992-12-29,11.44815961064499
1993-01-14,11.701050091687009
1993-01-28,11.833583883039804
1993-02-15,11.647035665071993
1993-02-27,11.712262773430023
1993-03-14,11.586738733550472
1993-04-14,11.38590322962419
1993-04-27,11.284461030981301
1993-05-14,11.293815624228731
1993-05-29,11.116203058907711
1993-06-14,10.849930969344747
1993-06-28,10.69486520150059
1993-07-13,10.474779278840398
1993-07-28,10.738811223411304
1993-08-14,10.655961009541212
1993-08-28,10.501989600922652
1993-09-14,10.62319274100021
1993-09-27,11.11463309923765
1993-10-13,11.281060821745431
1993-10-28,11.376331485532202
1993-11-15,11.398001223312264
1993-11-29,11.398568236502012
1993-12-13,11.665134392667838
1993-12-29,12.031750524620684
1994-01-13,12.152477040083483
1994-01-27,12.260665436597677
1994-02-15,11.947412464180456
1994-02-28,11.892873150245624
